| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   1015|  0|   19|   9165|AL   |
|   1016|  0|   34|  25912|AL   |
|   1016|  0|   34|  25912|AL   |
|   1016|  0|   34|  25912|AL   |
|   1017|  0|   36|  34983|AL   |
|   1017|  0|   36|  34983|AL   |
|   1017|  0|   36|  34983|AL   |
|   1018|  0|   27|  10239|AL   |
|   1018|  0|   27|  10239|AL   |
|   1018|  0|   27|  10239|AL   |
|   1019|  0|   14|   7995|AL   |
|   1019|  0|   14|   7995|AL   |
|   1019|  0|   14|   7995|AL   |
|   1020|  0|   37|  22951|AL   |
|   1020|  0|   37|  22951|AL   |
|   1020|  0|   37|  22951|AL   |
|   1021|  0|   19|   8791|AL   |
|   1021|  0|   19|   8791|AL   |
|   1021|  0|   19|   8791|AL   |
|   1022|  0|   53|  48051|AL   |
|   1022|  0|   53|  48051|AL   |
|   1022|  0|   53|  48051|AL   |
|   1023|  0|   26|  28364|AL   |
|   1023|  0|   26|  28364|AL   |
|   1023|  0|   26|  28364|AL   |
|   1024|  0|   32|  31724|AL   |
|   1024|  0|   32|  31724|AL   |
|   1024|  0|   32|  31724|AL   |
|   1025|  0|   77|  36805|AL   |
|   1025|  0|   77|  36805|AL   |
|   1025|  0|   77|  36805|AL   |
|   1026|  0|   31|  38131|AL   |
|   1026|  0|   31|  38131|AL   |
|   1026|  0|   31|  38131|AL   |
|   1027|  0|   34|  21691|AL   |
|   1027|  0|   34|  21691|AL   |
|   1027|  0|   34|  21691|AL   |
|   1028|  0|   53|  62910|AL   |
|   1028|  0|   53|  62910|AL   |
|   1028|  0|   53|  62910|AL   |
|   1029|  0|   28|  10372|AL   |
|   1029|  0|   28|  10372|AL   |
|   1029|  0|   28|  10372|AL   |
|   1030|  0|   25|  20157|AL   |
|   1030|  0|   25|  20157|AL   |
|   1030|  0|   25|  20157|AL   |
|   1031|  0|   31|  15997|AL   |
|   1031|  0|   31|  15997|AL   |
|   1031|  0|   31|  15997|AL   |
|   1032|  0|   21|   7525|AL   |
|   1032|  0|   21|   7525|AL   |
|   1032|  0|   21|   7525|AL   |
|   1033|  0|   16|  12385|AL   |
|   1033|  0|   16|  12385|AL   |
|   1033|  0|   16|  12385|AL   |
|   1034|  0|   20|  11237|AL   |
|   1034|  0|   20|  11237|AL   |
|   1034|  0|   20|  11237|AL   |
|   1035|  0|   29|  53597|AL   |
|   1035|  0|   29|  53597|AL   |
|   1035|  0|   29|  53597|AL   |
|   1036|  0|   38|  33078|AL   |
|   1036|  0|   38|  33078|AL   |
|   1036|  0|   38|  33078|AL   |
|   1037|  0|  379| 422689|AL   |
|   1037|  0|  379| 422689|AL   |
|   1037|  0|  379| 422689|AL   |
|   1039|  0|   25|  11173|AL   |
|   1039|  0|   25|  11173|AL   |
|   1039|  0|   25|  11173|AL   |
|   1040|  0|   33|  54638|AL   |
|   1040|  0|   33|  54638|AL   |
