| polra_number|pol_first_name  |pol_middle_name |pol_last_name   |pol_abbrv   |pol_junior|polra_party|ra_number  |pol_nat_id |polra_in_order|pol_number |st_postal|
|   17621|John||Campbell|Campbll |  |GOP|   8149|  52471| 2|   8825|CA   |
|   17246|Linda   ||Sanchez |Sanchez |  |Dem|   5729|116| 1|   8969|CA   |
|   17523|Kevin   ||McCarthy|McCrthy |  |GOP|   5712|  52561| 1|   9107|CA   |
|   17579|Karen   ||Bass|Bass|  |Dem|   5723|  50853| 1|   9718|CA   |
|   17618|Van ||Tran|Tran|  |GOP|   5739|  12115| 2|   9761|CA   |
|   17449|Jackie  ||Speier  |Speier  |  |Dem|   5702|  52489| 1|  10027|CA   |
|   18531|John||Larson  |Larson  |  |WF |   7007|   1139| 5|  10414|CT   |
|   28052|John||Larson  |Larson  |  |Dem|   7007|   1139| 2|  10414|CT   |
|   18058|Rosa||DeLauro |DeLauro |  |Dem|   7011|   1141| 2|  10421|CT   |
|   18535|Rosa||DeLauro |DeLauro |  |WF |   7011|   1141| 4|  10421|CT   |
|   18046|Richard ||Blumenthal  |Blumnthl|  |Dem|   9147|   9548| 2|  10539|CT   |
|   18530|Richard ||Blumenthal  |Blumnthl|  |WF |   9147|   9548| 5|  10539|CT   |
|   18063|Chris   ||Murphy  |Murphy  |  |Dem|   7015|  52147| 2|  10668|CT   |
|   18630|Chris   ||Murphy  |Murphy  |  |WF |   7015|  52147| 4|  10668|CT   |
|   18037|Carol   ||Wolman  |Wolman  |  |Grn|   6478|  58691| 4|  10720|CA   |
|   18039|Art ||Tuma|Tuma|  |Lib|   5693| 10| 5|  10725|CA   |
|   17425|Doris   ||Matsui  |Matsui  |  |Dem|   5695|  51416| 1|  10732|CA   |
|   17426|Paul||Smith   |Smith   |  |GOP|   5695|  58703| 2|  10733|CA   |
|   18043|Joel||Smolen  |Smolen  |  |Lib|   5696|   8486| 4|  10736|CA   |
|   18045|Philip  ||Berg|Berg|  |Lib|   5698|  51771| 3|  10743|CA   |
|   18055|James   ||Eyer|Eyer|  |Lib|   5699| 30| 4|  10745|CA   |
|   18044|Eugene  ||Ruyle   |Ruyle   |  |PFP|   5696|  58720| 3|  10747|CA   |
|   17443|Jerry   ||McNerney|McNerny |  |Dem|   5701|  50403| 1|  10748|CA   |
