| ru_number  |ra_number  |rura_tot_pcts|rura_voters|st_postal|
|   1069|   1683|   22|  13011|AL   |
|  1|   2010|  438| 389360|AK   |
|   2001|   2010|  438| 408828|AK   |
|  1|   2015|  438| 389360|AK   |
|   2001|   2015|  438| 408828|AK   |
|  1|   2933|  438| 389360|AK   |
|   2001|   2933|  438| 408828|AK   |
|  1|   3002| 2239|2750496|AZ   |
|   3001|   3002|   45|  33688|AZ   |
|   3002|   3002|   64|  62446|AZ   |
|   3003|   3002|   85|  60829|AZ   |
|   3004|   3002|   39|  25886|AZ   |
|   3005|   3002|   18|  14642|AZ   |
|   3006|   3002|8|   3495|AZ   |
|   3007|   3002|   12|   7040|AZ   |
|   3008|   3002| 1142|1596012|AZ   |
|   3009|   3002|   73|  91165|AZ   |
|   3010|   3002|   70|  47190|AZ   |
|   3011|   3002|  417| 436519|AZ   |
|   3012|   3002|   88| 134250|AZ   |
|   3013|   3002|   24|  17691|AZ   |
|   3014|   3002|  112| 109496|AZ   |
|   3015|   3002|   42|  58410|AZ   |
|  1|   3004|  392| 348931|AZ   |
|   3001|   3004|   45|  33688|AZ   |
|   3003|   3004|   78|  60200|AZ   |
|   3004|   3004|   39|  25886|AZ   |
|   3005|   3004|   18|  14642|AZ   |
|   3006|   3004|8|   3495|AZ   |
|   3010|   3004|   52|  47157|AZ   |
|   3012|   3004|   42|  43913|AZ   |
|   3014|   3004|  110| 110695|AZ   |
|  1|   3006|  315| 450601|AZ   |
|   3003|   3006|7|525|AZ   |
|   3007|   3006|1| 14|AZ   |
|   3008|   3006|  214| 341381|AZ   |
|   3009|   3006|   73|  91165|AZ   |
|   3010|   3006|   18|   1999|AZ   |
|   3014|   3006|2|  0|AZ   |
|  1|   3008|  249| 333309|AZ   |
|   3008|   3008|  249| 328406|AZ   |
|  1|   3010|  163| 184648|AZ   |
|   3008|   3010|  163| 181932|AZ   |
|  1|   3012|  248| 324991|AZ   |
|   3008|   3012|  248| 320211|AZ   |
|  1|   3014| 2239|2750496|AZ   |
|   3001|   3014|   45|  33688|AZ   |
|   3002|   3014|   64|  62446|AZ   |
|   3003|   3014|   85|  60829|AZ   |
|   3004|   3014|   39|  25886|AZ   |
|   3005|   3014|   18|  14642|AZ   |
|   3006|   3014|8|   3495|AZ   |
|   3007|   3014|   12|   7040|AZ   |
|   3008|   3014| 1142|1596012|AZ   |
|   3009|   3014|   73|  91165|AZ   |
|   3010|   3014|   70|  47190|AZ   |
|   3011|   3014|  417| 436519|AZ   |
|   3012|   3014|   88| 134250|AZ   |
|   3013|   3014|   24|  17691|AZ   |
|   3014|   3014|  112| 109496|AZ   |
|   3015|   3014|   42|  58410|AZ   |
|  1|   3544|  259| 432793|AZ   |
|   3008|   3544|  230| 368519|AZ   |
|   3012|   3544|   29|  54607|AZ   |
|  1|   3920|  261| 284931|AZ   |
|   3007|   3920|   11|   6920|AZ   |
|   3008|   3920|   38|  46662|AZ   |
|   3011|   3920|  136| 129492|AZ   |
|   3012|   3920|   15|  21467|AZ   |
|   3013|   3920|   19|  14830|AZ   |
